index,start_time,end_time,transcript,joy,sadness,anger,calm,fear,source_dominant_emotion,raw_track_id,raw_filename,raw_similarity,dominant_emotion,selected_track_id,selected_filename,selected_similarity
0,0.0,4.68,Chapter 1 of the Sign of the Cross in the 19th century.,0.16944345086678003,0.05418896793666128,0.04785128528796647,0.5728758839849445,0.15564041192364775,calm,calm2,calm2.mp3,0.9734432698114283,calm,calm2,calm2.mp3,0.9734432698114283
1,5.14,7.18,This is a Libravox Recording.,0.17156452787586154,0.053547902761366374,0.049747960201485274,0.5718341393634923,0.15330546979779455,calm,calm2,calm2.mp3,0.9729964633086589,calm,calm2,calm2.mp3,0.9734432698114283
2,7.56,10.52,All Libravox recordings are in the public domain.,0.1698864308139995,0.054391381568815934,0.04877849885210077,0.571909513917969,0.15503417484711485,neutral,calm2,calm2.mp3,0.9732287393628742,calm,calm2,calm2.mp3,0.9734432698114283
3,11.18,16.74,"For more information or to volunteer, please visit Libravox .org.",0.17696541072778865,0.05925418677788062,0.05036584419304253,0.5448365463000913,0.168578012001197,calm,calm2,calm2.mp3,0.9640348344976272,calm,calm2,calm2.mp3,0.9734432698114283
4,17.26,19.44,Recording by Dom Noah Morbake.,0.17644668417415538,0.06219872134445605,0.048944670725490344,0.5359567484823534,0.17645317527354473,calm,calm2,calm2.mp3,0.9606703237498943,calm,calm2,calm2.mp3,0.9734432698114283
5,20.0,26.02,The Sign of the Cross in the 19th century by John Gammay translated by a daughter of St.,0.1840748463644064,0.06472949990342289,0.05077385129560781,0.5153931586857601,0.18502864375080283,calm,calm2,calm2.mp3,0.9511394963495895,calm,calm2,calm2.mp3,0.9734432698114283
6,26.22,26.56,Joseph.,0.18158952702644623,0.06798620835653156,0.04842748468388388,0.5070822704003264,0.19491450953281197,neutral,calm2,calm2.mp3,0.9468988837550882,calm,calm2,calm2.mp3,0.9734432698114283
7,29.04,30.92,Dedication to the glorious St.,0.1817759280398516,0.06839410533301797,0.04742272073467527,0.5084376204505552,0.19396962544189997,neutral,calm2,calm2.mp3,0.9476594733281245,calm,calm2,calm2.mp3,0.9734432698114283
8,31.1,31.48,Joseph.,0.21621713534166656,0.06245006311998349,0.04473916460235348,0.5017582596461703,0.17483537728982604,neutral,calm3,calm3.mp3,0.9450687670282375,calm,calm2,calm2.mp3,0.9734432698114283
9,32.0,33.48,O blessed Father St.,0.26080280598018807,0.057392554083990334,0.0448032650141363,0.47678820621269413,0.1602131687089912,neutral,calm3,calm3.mp3,0.9381744765006408,calm,calm2,calm2.mp3,0.9734432698114283
10,33.68,41.52,"Joseph, guardian of the incarnate Word, spouse of the Immaculate Mother of God, and patron of the Universal Church.",0.28731487973029035,0.05407606258717114,0.04347816536716599,0.46527231184506873,0.14985858047030373,calm,calm3,calm3.mp3,0.9321466194223997,calm,calm2,calm2.mp3,0.9734432698114283
11,42.08,62.12,"With sentiments of the deepest love and gratitude, I dedicate to the this work, destined, I hope, to incendle in many hearts devotion to the cross of Jesus, the shadow of which brooded so heavily, yet with also gloriously over thy life in Bethlehem, Egypt, and Nazareth.",0.30344777375300874,0.09611762793286042,0.04844697666320728,0.39432329738991084,0.1576643242610127,calm,calm3,calm3.mp3,0.8912671438205665,calm,calm2,calm2.mp3,0.9734432698114283
12,62.92,72.56,"Dane, O holy patron, to accept and bless it that through thy intercession it may become to many the channel of the graces promised herein.",0.3136297830701218,0.09656575101751283,0.05101013838475001,0.37711026974386164,0.16168405778375367,calm,calm3,calm3.mp3,0.8747237872199566,calm,calm2,calm2.mp3,0.9734432698114283
13,72.94,92.46,"By the memory of the agony thou dis undergo during the three days' loss, I beseech thee to take pity on those mirads of souls who have willfully lost their God, have separated themselves from him and his church, and rush blindly to destruction, ignorant or unmindful of their loss.",0.2767881707867295,0.09967470772987086,0.05386487724551976,0.3971603351936962,0.17251190904418368,sad,calm3,calm3.mp3,0.8934785192187464,calm,calm2,calm2.mp3,0.9734432698114283
14,93.3,95.24,"Thou art, according to St.",0.23513667653782983,0.10190011621485713,0.05591138322066108,0.427495295870399,0.17955652815625306,neutral,calm3,calm3.mp3,0.9139411793948723,calm,calm2,calm2.mp3,0.9734432698114283
15,95.36,115.56,"Teresa, the minister, plenty potentiary, the treasurer, general of the most high, opened then those heavenly treasures, shed them on the children of the church committed to thy care, and grant that by means of the sign of the cross we may pass through life untainted by the vice and infidelity of the world.",0.20613521459702536,0.10098812419055878,0.05772560135799352,0.45598545200754914,0.17916560784687316,calm,calm3,calm3.mp3,0.9284677148796427,calm,calm2,calm2.mp3,0.9734432698114283
16,116.18,125.64,"Let us not glory, save in the cross of our Lord Jesus Christ, the instrument of our redemption, the pledge of our eternal salvation.",0.1898415239093698,0.05825272941482814,0.053408046966173295,0.5309557158340672,0.1675419838755615,calm,calm2,calm2.mp3,0.9572968719800109,calm,calm2,calm2.mp3,0.9734432698114283
17,126.52,132.94,"The translator, feasts of the presentation of our Lady November 21st, 1872.",0.2820988528462426,0.054755369879828486,0.04998089766547333,0.4559326029636826,0.157232276644773,calm,calm3,calm3.mp3,0.9264168413503179,calm,calm2,calm2.mp3,0.9734432698114283
18,133.5,135.26,Preface to the second edition.,0.2788075433904058,0.05413350080889502,0.04712129409112452,0.4680037178938501,0.1519339438157245,neutral,calm3,calm3.mp3,0.9341484840354891,calm,calm2,calm2.mp3,0.9734432698114283
19,136.12,140.74,One word on the publication of this little work and the unexpected success it has obtained.,0.2975794086755708,0.056371616610531715,0.04889899690956126,0.4367105395766731,0.16043943822766307,happy,calm3,calm3.mp3,0.9128171982307723,calm,calm2,calm2.mp3,0.9734432698114283
20,141.44,143.74,How did the idea of this book occur to us?,0.3137085117492131,0.05872009214727254,0.04950284838287684,0.4114806109695476,0.16658793675108993,calm,calm3,calm3.mp3,0.8922962483353541,calm,calm2,calm2.mp3,0.9734432698114283
